"drugid"	"geneid"
"DB00804"	"1128"
"DB00670"	"1128"
"DB00670"	"1128"
"DB00804"	"1128"
"DB02021"	"231"
"DB02712"	"231"
"DB01268"	"2324"
"DB00398"	"2324"
"DB00044"	"3973"
"DB00279"	"7068"
"DB00451"	"7068"
"DB00168"	"83756"
"DB00323"	"1312"
"DB00282"	"2224"
"DB00630"	"2224"
"DB00884"	"2224"
"DB00399"	"2224"
"DB00399"	"2224"
"DB00399"	"2224"
"DB00282"	"2224"
"DB00877"	"2475"
"DB00338"	"495"
"DB01129"	"495"
"DB00736"	"495"
"DB00213"	"495"
"DB00338"	"495"
"DB00338"	"495"
"DB00708"	"4988"
"DB00899"	"4988"
"DB00193"	"4988"
"DB00836"	"4988"
"DB00802"	"4988"
"DB00295"	"4988"
"DB00327"	"4988"
"DB00854"	"4988"
"DB00454"	"4988"
"DB01183"	"4988"
"DB01209"	"4988"
"DB00813"	"4988"
"DB00611"	"4988"
"DB00921"	"4988"
"DB00844"	"4988"
"DB00652"	"4988"
"DB00295"	"4988"
"DB00318"	"4988"
"DB00704"	"4988"
"DB00652"	"4988"
"DB00333"	"4988"
"DB00504"	"4988"
"DB00704"	"4988"
"DB01227"	"4988"
"DB00708"	"4988"
"DB00497"	"4988"
"DB00802"	"4988"
"DB00836"	"4988"
"DB01551"	"4988"
"DB00647"	"4988"
"DB01081"	"4988"
"DB01535"	"4988"
"DB01538"	"4988"
"DB01548"	"4988"
"DB00875"	"1812"
"DB00714"	"1812"
"DB00714"	"1812"
"DB00783"	"2100"
"DB00947"	"2100"
"DB00890"	"2100"
"DB00882"	"2100"
"DB01277"	"3480"
"DB01171"	"4128"
"DB00805"	"4128"
"DB00805"	"4128"
"DB01160"	"5737"
"DB00429"	"5737"
"DB00287"	"5737"
"DB00654"	"5737"
"DB01161"	"6326"
"DB00907"	"6326"
"DB00907"	"6326"
"DB01161"	"6329"
"DB00281"	"6329"
"DB00909"	"6329"
"DB01303"	"134"
"DB00277"	"134"
"DB01268"	"1435"
"DB01268"	"2321"
"DB00748"	"3269"
"DB00557"	"3269"
"DB00737"	"3269"
"DB00768"	"3269"
"DB01075"	"3269"
"DB00972"	"3269"
"DB01069"	"3269"
"DB01114"	"3269"
"DB00950"	"3269"
"DB00283"	"3269"
"DB01114"	"3269"
"DB01146"	"3269"
"DB00341"	"3269"
"DB00557"	"3269"
"DB00920"	"3269"
"DB00719"	"3269"
"DB01075"	"3269"
"DB01246"	"3269"
"DB01146"	"3269"
"DB01176"	"3269"
"DB00354"	"3269"
"DB00792"	"3269"
"DB00434"	"3269"
"DB01106"	"3269"
"DB01084"	"3269"
"DB00341"	"3269"
"DB00334"	"3269"
"DB00719"	"3269"
"DB00792"	"3269"
"DB00748"	"3269"
"DB01246"	"3269"
"DB00972"	"3269"
"DB01114"	"3269"
"DB01069"	"3269"
"DB00619"	"3815"
"DB00398"	"3815"
"DB01268"	"3815"
"DB00302"	"5340"
"DB01240"	"5739"
"DB00374"	"5739"
"DB00573"	"5743"
"DB00586"	"5743"
"DB01050"	"5743"
"DB00814"	"5743"
"DB00465"	"5743"
"DB00586"	"5743"
"DB00500"	"5743"
"DB00469"	"5743"
"DB00328"	"5743"
"DB00712"	"5743"
"DB00328"	"5743"
"DB00939"	"5743"
"DB00573"	"5743"
"DB00712"	"5743"
"DB03585"	"5743"
"DB00554"	"5743"
"DB00554"	"5743"
"DB00554"	"5743"
"DB01050"	"5743"
"DB00586"	"5743"
"DB01050"	"5743"
"DB00712"	"5743"
"DB00461"	"5743"
"DB00812"	"5743"
"DB00679"	"1813"
"DB00623"	"1813"
"DB00420"	"1813"
"DB01233"	"1813"
"DB00623"	"1813"
"DB01238"	"1813"
"DB00268"	"1813"
"DB00875"	"1813"
"DB00248"	"1813"
"DB00831"	"1813"
"DB00391"	"1813"
"DB00408"	"1813"
"DB00623"	"1813"
"DB00508"	"1813"
"DB01200"	"1813"
"DB00850"	"1813"
"DB00831"	"1813"
"DB00433"	"1813"
"DB00623"	"1813"
"DB00502"	"1813"
"DB00246"	"1813"
"DB00714"	"1813"
"DB00408"	"1813"
"DB00246"	"1813"
"DB00433"	"1813"
"DB01184"	"1813"
"DB01267"	"1813"
"DB00850"	"1813"
"DB00413"	"1813"
"DB01425"	"1813"
"DB00334"	"1813"
"DB00714"	"1813"
"DB00477"	"1813"
"DB00108"	"3676"
"DB00906"	"6529"
"DB00232"	"6559"
"DB01324"	"6559"
"DB00808"	"6559"
"DB00310"	"6559"
"DB00398"	"673"
"DB00175"	"3156"
"DB01098"	"3156"
"DB00068"	"3454"
"DB00005"	"4049"
"DB01242"	"6530"
"DB00476"	"6530"
"DB00289"	"6530"
"DB00934"	"6530"
"DB01151"	"6530"
"DB00104"	"6752"
"DB00005"	"7124"
"DB00480"	"7124"
"DB00293"	"7298"
"DB01101"	"7298"
"DB01303"	"135"
"DB00277"	"135"
"DB00391"	"1814"
"DB00413"	"1814"
"DB00334"	"1814"
"DB00984"	"367"
"DB00984"	"367"
"DB01128"	"367"
"DB00621"	"367"
"DB01161"	"6334"
"DB01086"	"6334"
"DB01202"	"9900"
"DB01108"	"3283"
"DB00616"	"4311"
"DB01270"	"7422"
"DB00168"	"80834"
"DB01214"	"155"
"DB01136"	"155"
"DB00288"	"2908"
"DB00223"	"2908"
"DB00324"	"2908"
"DB00588"	"2908"
"DB00591"	"2908"
"DB00240"	"2908"
"DB00253"	"2908"
"DB00896"	"2908"
"DB00394"	"2908"
"DB00635"	"2908"
"DB01238"	"3356"
"DB01267"	"3356"
"DB00334"	"3356"
"DB00334"	"3358"
"DB00334"	"3358"
"DB01233"	"3360"
"DB00604"	"3360"
"DB00603"	"5241"
"DB00823"	"5241"
"DB00304"	"5241"
"DB00957"	"5241"
"DB00586"	"5742"
"DB00586"	"5742"
"DB00573"	"5742"
"DB00465"	"5742"
"DB01050"	"5742"
"DB00939"	"5742"
"DB00712"	"5742"
"DB00328"	"5742"
"DB00328"	"5742"
"DB00469"	"5742"
"DB00573"	"5742"
"DB00712"	"5742"
"DB00500"	"5742"
"DB00554"	"5742"
"DB01050"	"5742"
"DB00554"	"5742"
"DB03585"	"5742"
"DB00554"	"5742"
"DB01050"	"5742"
"DB00586"	"5742"
"DB00500"	"5742"
"DB00945"	"5742"
"DB01161"	"6335"
"DB00281"	"6335"
"DB01086"	"6335"
"DB00280"	"6335"
"DB01214"	"153"
"DB00264"	"153"
"DB01193"	"153"
"DB00612"	"153"
"DB01297"	"153"
"DB00960"	"153"
"DB00335"	"153"
"DB00901"	"154"
"DB00816"	"154"
"DB01214"	"154"
"DB00938"	"154"
"DB01203"	"154"
"DB01235"	"1816"
"DB01238"	"3350"
"DB00953"	"3351"
"DB00315"	"3351"
"DB00953"	"3352"
"DB00315"	"3352"
"DB01285"	"4157"
"DB01284"	"4157"
"DB01284"	"4161"
"DB01285"	"4161"
"DB00990"	"1588"
"DB01217"	"1588"
"DB00894"	"1588"
"DB00921"	"4986"
"DB01209"	"4986"
"DB00844"	"4986"
"DB01183"	"4986"
"DB00611"	"4986"
"DB00704"	"4986"
"DB00652"	"4986"
"DB00652"	"4986"
"DB00504"	"4986"
"DB00704"	"4986"
"DB01548"	"4986"
"DB00486"	"1268"
"DB00470"	"1268"
"DB00640"	"140"
"DB00944"	"43"
"DB01268"	"5979"
"DB01161"	"6328"
"DB01086"	"6328"
"DB00909"	"6328"
"DB01161"	"6336"
"DB00973"	"29881"
"DB00308"	"3757"
"DB00476"	"6532"
"DB00472"	"6532"
"DB01242"	"6532"
"DB00715"	"6532"
"DB01104"	"6532"
"DB01191"	"6532"
"DB01151"	"6532"
"DB01097"	"1723"
"DB00890"	"2099"
"DB00882"	"2099"
"DB00947"	"2099"
"DB00783"	"2099"
"DB00655"	"2099"
"DB00001"	"2147"
"DB00619"	"5156"
"DB01268"	"5156"
"DB01161"	"6323"
"DB00413"	"1815"
"DB00334"	"1815"
"DB01235"	"1815"
"DB00317"	"1956"
"DB01268"	"3791"
"DB00398"	"3791"
"DB00731"	"6833"
"DB01120"	"6833"
"DB01251"	"6833"
"DB01252"	"6833"
"DB00222"	"6833"
"DB01285"	"4158"
"DB01183"	"4985"
"DB01209"	"4985"
"DB00704"	"4985"
"DB00704"	"4985"
"DB00724"	"51284"
"DB00619"	"5159"
"DB00398"	"5159"
"DB01268"	"5159"
"DB00104"	"6753"
"DB00910"	"7421"
"DB00169"	"7421"
"DB00820"	"8654"
"DB00068"	"3455"
"DB00796"	"185"
"DB00275"	"185"
"DB00966"	"185"
"DB00975"	"2030"
"DB00398"	"2322"
"DB01268"	"2322"
"DB00619"	"25"
"DB01129"	"496"
"DB00338"	"496"
"DB00213"	"496"
"DB00736"	"496"
"DB00338"	"496"
"DB00338"	"496"
"DB01161"	"6331"
"DB00280"	"6331"
"DB00273"	"6331"
"DB00281"	"6331"
"DB00451"	"7067"
"DB00279"	"7067"
"DB00700"	"4306"
"DB00670"	"1128"
"DB02020"	"231"
"DB00398"	"2324"
"DB00097"	"3973"
"DB00451"	"7068"
"DB00279"	"7068"
"DB02772"	"83756"
"DB01012"	"846"
"DB01012"	"846"
"DB00470"	"1269"
"DB00710"	"2224"
"DB00399"	"2224"
"DB00884"	"2224"
"DB00338"	"495"
"DB00736"	"495"
"DB01129"	"495"
"DB00736"	"495"
"DB00736"	"495"
"DB00318"	"4988"
"DB00647"	"4988"
"DB00652"	"4988"
"DB00813"	"4988"
"DB01183"	"4988"
"DB00454"	"4988"
"DB01192"	"4988"
"DB00193"	"4988"
"DB00956"	"4988"
"DB00899"	"4988"
"DB00333"	"4988"
"DB00295"	"4988"
"DB00327"	"4988"
"DB00854"	"4988"
"DB01497"	"4988"
"DB00318"	"4988"
"DB01081"	"4988"
"DB00497"	"4988"
"DB00956"	"4988"
"DB00673"	"6869"
"DB00648"	"1586"
"DB01235"	"1812"
"DB00800"	"1812"
"DB01186"	"1812"
"DB00800"	"1812"
"DB01186"	"1812"
"DB00977"	"2100"
"DB00655"	"2100"
"DB00255"	"2100"
"DB02187"	"2100"
"DB00067"	"554"
"DB00429"	"5737"
"DB00905"	"5737"
"DB01086"	"6326"
"DB00280"	"6326"
"DB00281"	"6326"
"DB00252"	"6326"
"DB00909"	"6326"
"DB00273"	"6326"
"DB00807"	"6326"
"DB01195"	"6326"
"DB00907"	"6329"
"DB00252"	"6329"
"DB00273"	"6329"
"DB00280"	"6329"
"DB01086"	"6329"
"DB00807"	"6329"
"DB01195"	"6329"
"DB01126"	"6715"
"DB00277"	"134"
"DB00640"	"134"
"DB01223"	"134"
"DB00824"	"134"
"DB00824"	"136"
"DB00477"	"3269"
"DB01224"	"3269"
"DB00985"	"3269"
"DB00334"	"3269"
"DB00455"	"3269"
"DB00637"	"3269"
"DB00737"	"3269"
"DB00768"	"3269"
"DB01224"	"3269"
"DB01084"	"3269"
"DB00920"	"3269"
"DB00366"	"3269"
"DB00950"	"3269"
"DB01106"	"3269"
"DB00427"	"3269"
"DB00792"	"3269"
"DB01619"	"3269"
"DB00751"	"3269"
"DB01620"	"3269"
"DB00557"	"3269"
"DB01075"	"3269"
"DB01176"	"3269"
"DB00967"	"3269"
"DB01075"	"3269"
"DB00405"	"3269"
"DB01075"	"3269"
"DB00283"	"3269"
"DB01237"	"3269"
"DB01176"	"3269"
"DB01069"	"3269"
"DB01195"	"3752"
"DB01118"	"3752"
"DB00398"	"3815"
"DB01254"	"3815"
"DB00113"	"4582"
"DB01240"	"5739"
"DB01088"	"5739"
"DB00945"	"5743"
"DB00605"	"5743"
"DB00328"	"5743"
"DB00788"	"5743"
"DB00500"	"5743"
"DB00991"	"5743"
"DB00482"	"5743"
"DB00465"	"5743"
"DB03585"	"5743"
"DB04552"	"5743"
"DB00963"	"5743"
"DB01283"	"5743"
"DB02266"	"5743"
"DB00989"	"590"
"DB00313"	"18"
"DB00334"	"1813"
"DB00734"	"1813"
"DB01224"	"1813"
"DB01100"	"1813"
"DB01186"	"1813"
"DB01235"	"1813"
"DB00433"	"1813"
"DB00246"	"1813"
"DB00589"	"1813"
"DB01618"	"1813"
"DB00623"	"1813"
"DB00268"	"1813"
"DB01224"	"1813"
"DB01186"	"1813"
"DB00391"	"1813"
"DB00831"	"1813"
"DB00409"	"1813"
"DB01200"	"1813"
"DB00850"	"1813"
"DB00409"	"1813"
"DB00906"	"6529"
"DB00808"	"6559"
"DB01325"	"6559"
"DB00880"	"6559"
"DB00880"	"6559"
"DB00398"	"673"
"DB00409"	"10280"
"DB00409"	"10280"
"DB00641"	"3156"
"DB00227"	"3156"
"DB01095"	"3156"
"DB00585"	"3274"
"DB00927"	"3274"
"DB00907"	"6530"
"DB00579"	"6530"
"DB00726"	"6530"
"DB00285"	"6530"
"DB01105"	"6530"
"DB00322"	"7298"
"DB00266"	"79001"
"DB00986"	"1131"
"DB01223"	"135"
"DB00277"	"135"
"DB00824"	"135"
"DB01100"	"1814"
"DB01235"	"1814"
"DB00334"	"1814"
"DB01224"	"1814"
"DB01224"	"1814"
"DB00624"	"367"
"DB01185"	"367"
"DB00273"	"6334"
"DB00281"	"6334"
"DB00252"	"6334"
"DB00909"	"6334"
"DB00280"	"6334"
"DB00807"	"6334"
"DB01195"	"6334"
"DB01254"	"6714"
"DB01195"	"81033"
"DB01254"	"1969"
"DB01126"	"6716"
"DB02772"	"80834"
"DB01744"	"8989"
"DB00825"	"8989"
"DB00960"	"155"
"DB01203"	"155"
"DB00741"	"2908"
"DB00959"	"2908"
"DB00180"	"2908"
"DB01222"	"2908"
"DB01234"	"2908"
"DB00620"	"2908"
"DB01260"	"2908"
"DB01224"	"3356"
"DB00734"	"3356"
"DB00334"	"3356"
"DB01224"	"3356"
"DB00396"	"5241"
"DB00717"	"5241"
"DB00991"	"5742"
"DB00712"	"5742"
"DB00328"	"5742"
"DB00605"	"5742"
"DB00788"	"5742"
"DB00812"	"5742"
