"drugid"	"se"
"DB00924"	"http://bio2rdf.org/umls:C0009806"
"DB00363"	"http://bio2rdf.org/umls:C0878544"
"DB01068"	"http://bio2rdf.org/umls:C0035455"
"DB06243"	"http://bio2rdf.org/umls:C0018681"
"DB00861"	"http://bio2rdf.org/umls:C0037763"
"DB08826"	"http://bio2rdf.org/umls:C0015230"
"DB00531"	"http://bio2rdf.org/umls:C0036572"
"DB00575"	"http://bio2rdf.org/umls:C2363730"
"DB00924"	"http://bio2rdf.org/umls:C0341047"
"DB00250"	"http://bio2rdf.org/umls:C0853714"
"DB00924"	"http://bio2rdf.org/umls:C2830004"
"DB01068"	"http://bio2rdf.org/umls:C0233472"
"DB01394"	"http://bio2rdf.org/umls:C0023530"
"DB00746"	"http://bio2rdf.org/umls:C0033774"
"DB01394"	"http://bio2rdf.org/umls:C0001824"
"DB01394"	"http://bio2rdf.org/umls:C0004509"
"DB01394"	"http://bio2rdf.org/umls:C0017178"
"DB00575"	"http://bio2rdf.org/umls:C0043352"
"DB00575"	"http://bio2rdf.org/umls:C0010399"
"DB00575"	"http://bio2rdf.org/umls:C2830004"
"DB00531"	"http://bio2rdf.org/umls:C0036980"
"DB00363"	"http://bio2rdf.org/umls:C0085623"
"DB08826"	"http://bio2rdf.org/umls:C0019048"
"DB00575"	"http://bio2rdf.org/umls:C0020651"
"DB00829"	"http://bio2rdf.org/umls:C0042571"
"DB00575"	"http://bio2rdf.org/umls:C1443060"
"DB01068"	"http://bio2rdf.org/umls:C0022107"
"DB00363"	"http://bio2rdf.org/umls:C0021843"
"DB00531"	"http://bio2rdf.org/umls:C0085932"
"DB00363"	"http://bio2rdf.org/umls:C0235378"
"DB00575"	"http://bio2rdf.org/umls:C0039231"
"DB08826"	"http://bio2rdf.org/umls:C0341047"
"DB00829"	"http://bio2rdf.org/umls:C0004093"
"DB01068"	"http://bio2rdf.org/umls:C0004093"
"DB00363"	"http://bio2rdf.org/umls:C0017605"
"DB00531"	"http://bio2rdf.org/umls:C0040053"
"DB00746"	"http://bio2rdf.org/umls:C0030193"
"DB00363"	"http://bio2rdf.org/umls:C0042963"
"DB00531"	"http://bio2rdf.org/umls:C0015672"
"DB01394"	"http://bio2rdf.org/umls:C0549373"
"DB00531"	"http://bio2rdf.org/umls:C0042721"
"DB00829"	"http://bio2rdf.org/umls:C0016655"
"DB00804"	"http://bio2rdf.org/umls:C0151786"
"DB00363"	"http://bio2rdf.org/umls:C0015967"
"DB00531"	"http://bio2rdf.org/umls:C0011603"
"DB00363"	"http://bio2rdf.org/umls:C0043352"
"DB00363"	"http://bio2rdf.org/umls:C0018681"
