C0877217	HP:0002540
C0162871	HP:0004953
C1291077	HP:0003270
C0232488	HP:0011848
C0000729	HP:0003394
C0232487	HP:0002027
C0000731	HP:0003270
C0235698	HP:0003270
C0235295	HP:0002027
C0178282	HP:0004299
C1112209	HP:0005410
C0000734	HP:0003270
C0000735	HP:0007378
C0000737	HP:0002027
C0344304	HP:0002027
C0232495	HP:0002027
C0232492	HP:0002027
C0948610	HP:0004299
C0740651	HP:0011458
C0232498	HP:0002027
C0233514	HP:0000708
C0497202	HP:0000496
C0392702	HP:0004305
C0013418	HP:0001787
C1260926	HP:0001000
C0151854	HP:0001872
C0000786	HP:0005268
C0000833	HP:0002722
C0702176	HP:0002722
C0031085	HP:0002722
C0541754	HP:0002722
C1168174	HP:0001875
C0221270	HP:0000956
C0000889	HP:0000956
C0234238	HP:0003552
C0151848	HP:0003148
C0001122	HP:0001941
C0702166	HP:0001061
C0263445	HP:0001061
C0263437	HP:0001061
C0175167	HP:0001061
C1096116	HP:0005542
C0001175	HP:0002721
C0022581	HP:0000962
C1384597	HP:0002251
C0152202	HP:0000662
C0239343	HP:0010783
C0037293	HP:0010609
C0221347	HP:0001063
C0022602	HP:0007508
C0853223	HP:0003645
C0857035	HP:0100845
C0154946	HP:0000501
C0149514	HP:0002837
C0522051	HP:0001677
C0948089	HP:0001677
C0743323	HP:0002094
C0856695	HP:0002837
C0267446	HP:0004386
C0877055	HP:0200039
C0281773	HP:0000501
C0162557	HP:0006554
C0149937	HP:0004729
C1279945	HP:0006515
C0085669	HP:0002488
C0023449	HP:0006721
C0023467	HP:0004808
C0155626	HP:0001658
C0184567	HP:0010833
C1167654	HP:0004713
C0023487	HP:0004836
C0281774	HP:0000709
C0155919	HP:0100598
C1565662	HP:0000083
C0035222	HP:0002093
C0264490	HP:0002093
C0149512	HP:0000255
C0001361	HP:0011110
C0234935	HP:0001025
C0001418	HP:0006725
C0007112	HP:0100787
C0001430	HP:0006545
C0001486	HP:0004429
C0001546	HP:0000708
C0405580	HP:0000846
C0001621	HP:0000834
C0001623	HP:0000846
C0151467	HP:0000846
C0233472	HP:0100851
C0525045	HP:0100851
C1291736	HP:0000223
C0001807	HP:0000718
C1457883	HP:0000718
C0085631	HP:0000711
C0001818	HP:0000756
C0001824	HP:0001913
C1852242	HP:0007634
C0392156	HP:0000711
C0085623	HP:0002304
C0855618	HP:0002910
C0151905	HP:0002910
C0242292	HP:0010735
C0740469	HP:0002152
C0860864	HP:0003073
C0001925	HP:0000093
C0151474	HP:0001033
C0376670	HP:0001733
C0750857	HP:0003155
C0002063	HP:0001948
C0151476	HP:0005977
C0085570	HP:0001949
C0162820	HP:0001047
C0847033	HP:0000969
C0002170	HP:0001596
C0852968	HP:0001596
C0034050	HP:0006517
C0002390	HP:0006516
C0376288	HP:0000618
C0149793	HP:0100576
C0002418	HP:0000646
C0002447	HP:0009827
C0232940	HP:0000869
C0002453	HP:0000141
C0002514	HP:0004337
C0238621	HP:0003355
C0541772	HP:0001987
C0002622	HP:0002354
C0233796	HP:0010534
C0948106	HP:0001788
C0002631	HP:0001560
C0013927	HP:001907
C0002726	HP:0011034
C0002736	HP:0007354
C0002871	HP:0001903
C0002880	HP:0001890
C0002886	HP:0001972
C0002888	HP:0001889
C0549445	HP:0001903
C2004521	HP:0001889
C0003466	HP:0002023
C0279637	HP:0006763
C0948484	HP:0004378
C0016167	HP:0004378
C0205929	HP:0010447
C0426747	HP:0002573
C0238634	HP:0004378
C0347129	HP:0100743
C0033775	HP:0004378
C0345903	HP:0004378
C0344307	HP:0007328
C1328364	HP:0002099
C0412784	HP:0007328
C0002792	HP:0100845
C0340865	HP:0100845
C1868769	HP:0100845
C0238461	HP:0011779
C0162311	HP:0001596
C0857322	HP:0001903
C0002902	HP:0002323
C0002940	HP:0002617
C0162869	HP:0002617
C0002962	HP:0001681
C0235467	HP:0001681
C0002965	HP:0001681
C0235462	HP:0001681
C0002994	HP:0100665
C0206633	HP:0006772
C0042373	HP:0002597
C0018923	HP:0100242
C0017605	HP:0000501
C0221237	HP:0100825
C0003028	HP:0007459
C0221278	HP:0011273
C0235439	HP:0001785
C0009663	HP:0200043
C0003119	HP:0000528
C2242737	HP:0004378
C0687707	HP:0004378
C0003123	HP:0002039
C0003126	HP:0010632
C0234507	HP:0006972
C0003128	HP:0000140
C0429468	HP:0000140
C0751711	HP:0001138
C0042165	HP:0000554
C0233795	HP:0002354
C0860811	HP:0000863
C0151480	HP:0003493
C0233523	HP:0010865
C0003431	HP:0010865
C0003460	HP:0100519
C0003462	HP:0004378
C0003467	HP:0000739
C0700031	HP:0000739
C0338908	HP:0000739
C0003469	HP:0000739
C0860603	HP:0000739
C0003486	HP:0004942
C0741160	HP:0002622
C0277934	HP:0001679
C0003493	HP:0001679
C0340643	HP:0004933
C0741165	HP:0001907
C0003504	HP:0001659
C1455780	HP:0004380
C0003507	HP:0005173
C0085632	HP:0000741
C0549400	HP:0001787
C0221470	HP:0004396
C0003537	HP:0002381
C0003564	HP:0001618
C0038363	HP:0011107
C0243065	HP:0010515
C0034902	HP:0001915
C0002874	HP:0001915
C0003578	HP:0002104
C1971624	HP:0004396
C0003621	HP:0004396
C0426584	HP:0002591
C0234943	HP:0007328
C0234936	HP:0000969
C0003635	HP:0002186
C0003708	HP:0010651
C0234146	HP:0001284
C0175683	HP:0010909
C0003811	HP:0011675
C0428974	HP:0005115
C0340613	HP:0002636
C0151489	HP:0002620
C0852949	HP:0002620
C0003834	HP:0005114
C0264995	HP:0004950
C0003838	HP:0004950
C0085617	HP:0100545
C0038449	HP:0004928
C0151942	HP:0004420
C0264984	HP:0004420
C0003850	HP:0002634
C0010054	HP:0004929
C0010073	HP:0006704
C0003855	HP:0004947
C0003860	HP:0005291
C0003862	HP:0002829
C0155943	HP:0010754
C0857177	HP:0001369
C0003864	HP:0001369
C0235889	HP:0001369
C1692886	HP:0003095
C0003869	HP:0003095
C0022408	HP:0005195
C0003962	HP:0001541
C0085660	HP:0010885
C0520474	HP:0010885
C0233528	HP:0010865
C0151904	HP:0002910
C0004030	HP:0002724
C0700198	HP:0002835
C0549201	HP:0000964
C0232766	HP:0006925
C0004093	HP:0001324
C0004096	HP:0002099
C0549336	HP:0002099
C0856716	HP:0002099
C0347950	HP:0002099
C0004114	HP:0009592
C0004134	HP:0001251
C0004135	HP:0001009
C0004144	HP:0001642
C0004153	HP:0002621
C0541790	HP:0002305
C0004158	HP:0002305
C0403645	HP:0000016
C0002103	HP:0003193
C0085611	HP:0001692
C0004238	HP:0005110
C0004239	HP:0004749
C0232203	HP:0001692
C0018817	HP:0001631
C0546959	HP:0005115
C0004245	HP:0001678
C0151517	HP:0001709
C0085614	HP:0011705
C0264906	HP:0011706
C0004331	HP:0011709
C0155964	HP:0000206
C0149836	HP:0011026
C0041671	HP:0007018
C1263846	HP:0007018
C0026919	HP:0011275
C0740399	HP:0000714
C0260662	HP:0000364
C0236018	HP:0011157
C0004352	HP:0000717
C1510586	HP:0000717
C0004364	HP:0002960
C0241910	HP:0004787
C0242584	HP:0001973
C0741307	HP:0002270
C0262385	HP:0002271
C0259749	HP:0002270
C0410480	HP:0005743
C0376286	HP:0100508
C0004509	HP:0000027
C0242528	HP:0002157
C0554309	HP:0002157
C1292769	HP:0006721
C0263888	HP:0003418
C0235706	HP:0003418
C0004604	HP:0003418
C0004606	HP:0000488
C0004623	HP:0002718
C1744587	HP:0002141
C0575090	HP:0002141
C0751785	HP:0006869
C0007117	HP:0002671
C0018213	HP:0011784
C0702266	HP:0001912
C0917713	HP:0003560
C0004903	HP:0008186
C0004930	HP:0000708
C0497538	HP:0006719
C0033845	HP:0000822
C1704272	HP:0008711
C0005001	HP:0008711
C0154002	HP:0100650
C0541802	HP:0004910
C0521707	HP:0000519
C0521622	HP:0000126
C0856760	HP:0001920
C0740277	HP:0100574
C0267925	HP:0005230
C0282074	HP:0001081
C0005424	HP:0001080
C1142335	HP:0002904
C0741494	HP:0003573
C0740435	HP:0008282
C0005586	HP:0007302
C0853193	HP:0007302
C0024032	HP:0001518
C0005684	HP:0009725
C0699885	HP:0002862
C0549253	HP:0010955
C0549391	HP:0000014
C0005686	HP:0000014
C0005687	HP:0010955
C0156273	HP:0008691
C0232841	HP:0000014
C0600041	HP:0000094
C0005695	HP:0009725
C0232849	HP:0100518
C0151919	HP:0008714
C1458140	HP:0001892
C0151529	HP:0003010
C0151706	HP:0001892
C0005741	HP:0000498
C0271308	HP:0000498
C0005743	HP:0000509
C0005747	HP:0000643
C0456909	HP:0000618
C0155320	HP:0100704
C0155003	HP:0100576
C0271240	HP:0000618
C0005758	HP:0008066
C0018794	HP:0001678
C0853050	HP:0003148
C0853777	HP:0003073
C0853776	HP:0002152
C0852911	HP:0003155
C1142015	HP:0002904
C0311468	HP:0002904
C0854134	HP:0008282
C0595902	HP:0003113
C0595930	HP:0003124
C0852792	HP:0008220
C0853034	HP:0003236
C0853746	HP:0003259
C0235431	HP:0003259
C0853748	HP:0003111
C0854062	HP:0010990
C0852921	HP:0010990
C0580546	HP:0011015
C0595883	HP:0001943
C0595877	HP:0003074
C0853974	HP:0003335
C0853015	HP:0000845
C0853705	HP:0004313
C1321898	HP:0002573
C0852795	HP:0000842
C0853785	HP:0011031
C0853784	HP:0003452
C0853750	HP:0002917
C0853021	HP:0008209
C0877517	HP:0002148
C0919625	HP:0002905
C0853759	HP:0011042
C0853761	HP:0002900
C0853760	HP:0002513
C0277889	HP:0005117
C0497247	HP:0000822
C0277885	HP:0006673
C0277884	HP:0004421
C0854082	HP:0000870
C0595878	HP:0003228
C0853117	HP:0008230
C0852990	HP:0003645
C0853019	HP:0002925
C0853692	HP:0002155
C0438242	HP:0003138
C0151539	HP:0003138
C0373739	HP:0002149
C0235416	HP:0002149
C0221752	HP:0000790
C0947999	HP:0000790
C0855675	HP:0008277
C0020672	HP:0002045
C0015967	HP:0001945
C0153690	HP:0010622
C0877225	HP:0004349
C0231557	HP:0010675
C1368107	HP:0005528
C1142114	HP:0005528
C0948168	HP:0005561 
C0005967	HP:0010622
C0151825	HP:0002653
C1704327	HP:0002669
C0238807	HP:0002653
C0006012	HP:0000708
C0428977	HP:0001662
C0410919	HP:0001662
C1112488	HP:0001662
C0233565	HP:0002067
C0220650	HP:0100836
C0006118	HP:0100006
C0496899	HP:0100835
C1527311	HP:0002181
C0006142	HP:0003002
C0235653	HP:0003002
C0154084	HP:0003002
C0853879	HP:0003002
C0238033	HP:0003002
C0278488	HP:0003002
C0877338	HP:0000769
C0006145	HP:0000769
C0677658	HP:0000769
C0553724	HP:0000769
C0392317	HP:0002726
C0266008	HP:0000769
C1458155	HP:0100013
C0235922	HP:0100013
C0024902	HP:0000769
C0553713	HP:0000769
C0235792	HP:0000769
C0006267	HP:0002110
C0006271	HP:0100501
C0242770	HP:0100501
C0007120	HP:0006519
C0006277	HP:0002837
C1319018	HP:0002785
C0006285	HP:0006538
C1096448	HP:0006538
C2350530	HP:0002724
C0006266	HP:0002099
C0235906	HP:0002099
C0236072	HP:0002099
C1142166	HP:0004308
C0006325	HP:0003763
C0235340	HP:0010280
C0235344	HP:0000155
C0520573	HP:0001578
C0006370	HP:0100739
C2267227	HP:0100739
C0021100	HP:0005406
C0006384	HP:0011710
C0023211	HP:0011713
C0085615	HP:0011712
C0006413	HP:0002665
C0231710	HP:0003326
C0553702	HP:0003072
C0006625	HP:0004326
C0006663	HP:0003761
C0860967	HP:0002901
C0006705	HP:0004363
C0005683	HP:0010474
C0022650	HP:0000787
C1456865	HP:0000787
C0042018	HP:0000787
C0596240	HP:0002669
C0276680	HP:0005401
C0949091	HP:0005401
C0006840	HP:0005401
C0403723	HP:0005401
C0541820	HP:0011013
C0860713	HP:0005972
C0007078	HP:0011132
C0007095	HP:0006723
C0007097	HP:0006762
C0678222	HP:0003002
C0699790	HP:0003003
C0684249	HP:0006519
C0238463	HP:0002895
C0699791	HP:0006753
C0677483	HP:0010788
C0268407	HP:0011034
C0018790	HP:0001695
C0376297	HP:0001645
C0018799	HP:0001627
C0741921	HP:0001627 
C0018801	HP:0001635
C0264714	HP:0001635
C0264716	HP:0001635
C0018802	HP:0001635
C0235527	HP:0001708
C0232197	HP:0001663
C0016385	HP:0004749
C1383860	HP:0001714
C0007166	HP:0009805
C0423636	HP:0001681
C0018816	HP:0001671
C0751535	HP:0001279
C0018824	HP:0001654
C0600228	HP:0006543
C0018800	HP:0001640
C0878544	HP:0001638
C0036529	HP:0001638
C1444565	HP:0006543
C0265101	HP:0100546
C0007282	HP:0100546
C0007274	HP:0001977
C0007280	HP:0100546
C0007384	HP:0002524
C0086543	HP:0000518
C0271160	HP:0100019
C0392557	HP:0100018
C0151547	HP:0000518
C0235259	HP:0000523
C0521706	HP:0000518
C0742006	HP:0002719
C0860239	HP:0002719
C0742007	HP:0002719
C0007587	HP:0010885
C0007642	HP:0003553
C1096243	HP:0002719
C0007682	HP:0002011
C0007684	HP:0005381
C0085136	HP:0100006
C0311277	HP:0001956
C0154841	HP:0007768
C0152191	HP:0000603
C0730328	HP:0007822
C0007758	HP:0001251
C0007760	HP:0001317
C1290398	HP:0004944
C0877854	HP:0004931
C0235946	HP:0002059
C0542007	HP:0001342
C2937358	HP:0001342
C0007785	HP:0002637
C0917798	HP:0002637
C0007789	HP:0100021
C0079102	HP:0005305
C0151945	HP:0005305
C0235198	HP:0100543
C0038454	HP:0001297
C0007820	HP:0100659
C0241832	HP:0100659
C0007933	HP:0010605
C0007971	HP:0100825
C0149866	HP:0000509
C0235710	HP:0001681
C0742339	HP:0001681
C0008031	HP:0001681
C0438716	HP:0001681
C0232285	HP:0001681
C0232292	HP:0001681
C0008035	HP:0006649
C0085593	HP:0001945
C0008325	HP:0001082
C0149520	HP:0001082
C0085694	HP:0001082
C1262168	HP:0001082
C0947622	HP:0001081
C0008350	HP:0001081
C0008370	HP:0001396
C0008372	HP:0001406
C0860204	HP:0002611
C0595929	HP:0003124
C0553730	HP:0005017
C0008449	HP:0002763
C0007302	HP:0002763
C0008489	HP:0002072
C0234967	HP:0001266
C0085583	HP:0001266
C0008513	HP:0001145
C0339383	HP:0001145
C0162279	HP:0000541
C0474381	HP:0007641
C0155145	HP:0007717
C0019189	HP:0006562
C0524909	HP:0006562
C0751249	HP:0002360
C0238304	HP:0004743
C1279296	HP:0005558
C0023434	HP:0005550
C0023473	HP:0005506
C0024117	HP:0006510
C0150055	HP:0002574
C0023474	HP:0005506
C0403447	HP:0000083
C0264220	HP:0002795
C0221765	HP:0100753
C0262421	HP:0000010
C0877792	HP:0006979
C0239062	HP:0000262
C0151838	HP:0003401
C0860861	HP:0003113
C1456822	HP:0004417
C0008924	HP:0000204
C0008925	HP:0000175
C0234535	HP:0011169
C0857332	HP:0002169
C0009024	HP:0002169
C0009062	HP:0004798
C1142300	HP:0002583
C0238106	HP:0002583
C0233844	HP:0002312
C0009088	HP:0002315
C0151563	HP:0003256
C0005779	HP:0001928
C0854193	HP:0001268
C0009241	HP:0100543
C0338656	HP:0100543
C0151564	HP:0002396
C0009319	HP:0002583
C0162529	HP:0002583
C0400821	HP:0002583
C0009324	HP:0002583
C0262428	HP:0100324
C0007102	HP:0003003
C0235328	HP:0010676
C0009376	HP:0005227
C0009377	HP:0002595
C1527249	HP:0003003
C0948380	HP:0003003
C0854750	HP:0003003
C0242225	HP:0000551
C0009421	HP:0001259
C0019147	HP:0001259
C0043037	HP:0200043
C0694549	HP:0002090
C0458219	HP:0010832
C0521169	HP:0002953
C0600104	HP:0000722
C0264886	HP:0011675
C0009676	HP:0001289
C0265935	HP:0002620
C0243050	HP:0001626
C0151490	HP:0002011
C0009081	HP:0001762
C0311245	HP:0000107
C0235833	HP:0000776
C0015393	HP:0000496
C0016508	HP:0005853
C0221032	HP:0009064
C0158687	HP:0000078
C0042063	HP:0000119
C0521546	HP:0001367
C0019569	HP:0002251
C0340970	HP:0005549
C0026633	HP:0000153
C0037268	HP:0000951
C0158662	HP:0000157
C0007193	HP:0001635
C0009759	HP:0000502
C0239093	HP:0000509
C0009763	HP:0000509
C0009766	HP:0007879
C0009768	HP:0000509
C0497209	HP:0000509
C0854165	HP:0000509
C1112341	HP:0100658
C0009806	HP:0002019
C0401149	HP:0002019
C0728710	HP:0000616
C0009951	HP:0001250
C0159020	HP:0010520
C0234975	HP:0001250
C0234533	HP:0002197
C0234972	HP:0001250
C0751494	HP:0001250
C0151569	HP:0004844
C0239113	HP:0004844
C0520966	HP:0011443
C0740304	HP:0006510
