"umlsid"	"parent_1"	"parent_2"	"parent_3"
"C0009680"	"http://bio2rdf.org/meddra:10052777"	"http://bio2rdf.org/meddra:10000073"	"http://bio2rdf.org/meddra:10017947"
"C1260871"	"http://bio2rdf.org/meddra:10027416"	"http://bio2rdf.org/meddra:10000485"	"http://bio2rdf.org/meddra:10027433"
"C0085569"	"http://bio2rdf.org/meddra:10027416"	"http://bio2rdf.org/meddra:10000485"	"http://bio2rdf.org/meddra:10027433"
"C0002063"	"http://bio2rdf.org/meddra:10027422"	"http://bio2rdf.org/meddra:10000485"	"http://bio2rdf.org/meddra:10027433"
"C0151476"	"http://bio2rdf.org/meddra:10027422"	"http://bio2rdf.org/meddra:10000485"	"http://bio2rdf.org/meddra:10027433"
"C0085570"	"http://bio2rdf.org/meddra:10027422"	"http://bio2rdf.org/meddra:10000485"	"http://bio2rdf.org/meddra:10027433"
"C0001122"	"http://bio2rdf.org/meddra:10027739"	"http://bio2rdf.org/meddra:10000485"	"http://bio2rdf.org/meddra:10027433"
"C0001206"	"http://bio2rdf.org/meddra:10027428"	"http://bio2rdf.org/meddra:10000546"	"http://bio2rdf.org/meddra:10027433"
"C0001403"	"http://bio2rdf.org/meddra:10027428"	"http://bio2rdf.org/meddra:10000546"	"http://bio2rdf.org/meddra:10027433"
"C0342490"	"http://bio2rdf.org/meddra:10027428"	"http://bio2rdf.org/meddra:10000546"	"http://bio2rdf.org/meddra:10027433"
"C0151793"	"http://bio2rdf.org/meddra:10027428"	"http://bio2rdf.org/meddra:10000546"	"http://bio2rdf.org/meddra:10027433"
"C0001623"	"http://bio2rdf.org/meddra:10027428"	"http://bio2rdf.org/meddra:10000546"	"http://bio2rdf.org/meddra:10027433"
"C0854708"	"http://bio2rdf.org/meddra:10027428"	"http://bio2rdf.org/meddra:10000546"	"http://bio2rdf.org/meddra:10027433"
"C0154206"	"http://bio2rdf.org/meddra:10027428"	"http://bio2rdf.org/meddra:10000546"	"http://bio2rdf.org/meddra:10027433"
"C0271738"	"http://bio2rdf.org/meddra:10027428"	"http://bio2rdf.org/meddra:10000546"	"http://bio2rdf.org/meddra:10027433"
"C0151467"	"http://bio2rdf.org/meddra:10027428"	"http://bio2rdf.org/meddra:10000546"	"http://bio2rdf.org/meddra:10027433"
"C0854355"	"http://bio2rdf.org/meddra:10027428"	"http://bio2rdf.org/meddra:10000546"	"http://bio2rdf.org/meddra:10027433"
"C0342446"	"http://bio2rdf.org/meddra:10027428"	"http://bio2rdf.org/meddra:10000546"	"http://bio2rdf.org/meddra:10027433"
"C0154587"	"http://bio2rdf.org/meddra:10001301"	"http://bio2rdf.org/meddra:10001302"	"http://bio2rdf.org/meddra:10037175"
"C0851536"	"http://bio2rdf.org/meddra:10057196"	"http://bio2rdf.org/meddra:10001316"	"http://bio2rdf.org/meddra:10018065"
"C0851536"	"http://bio2rdf.org/meddra:10057196"	"http://bio2rdf.org/meddra:10001316"	"http://bio2rdf.org/meddra:10022117"
"C0342446"	"http://bio2rdf.org/meddra:10001341"	"http://bio2rdf.org/meddra:10001353"	"http://bio2rdf.org/meddra:10014698"
"C0001403"	"http://bio2rdf.org/meddra:10001343"	"http://bio2rdf.org/meddra:10001353"	"http://bio2rdf.org/meddra:10014698"
"C0342490"	"http://bio2rdf.org/meddra:10001343"	"http://bio2rdf.org/meddra:10001353"	"http://bio2rdf.org/meddra:10014698"
"C0001623"	"http://bio2rdf.org/meddra:10001343"	"http://bio2rdf.org/meddra:10001353"	"http://bio2rdf.org/meddra:10014698"
"C0854708"	"http://bio2rdf.org/meddra:10001343"	"http://bio2rdf.org/meddra:10001353"	"http://bio2rdf.org/meddra:10014698"
"C0271738"	"http://bio2rdf.org/meddra:10001343"	"http://bio2rdf.org/meddra:10001353"	"http://bio2rdf.org/meddra:10014698"
"C0151467"	"http://bio2rdf.org/meddra:10001343"	"http://bio2rdf.org/meddra:10001353"	"http://bio2rdf.org/meddra:10014698"
"C0854355"	"http://bio2rdf.org/meddra:10001343"	"http://bio2rdf.org/meddra:10001353"	"http://bio2rdf.org/meddra:10014698"
"C0151793"	"http://bio2rdf.org/meddra:10001354"	"http://bio2rdf.org/meddra:10001353"	"http://bio2rdf.org/meddra:10014698"
"C0347637"	"http://bio2rdf.org/meddra:10001354"	"http://bio2rdf.org/meddra:10001353"	"http://bio2rdf.org/meddra:10014698"
"C0152889"	"http://bio2rdf.org/meddra:10001354"	"http://bio2rdf.org/meddra:10001353"	"http://bio2rdf.org/meddra:10014698"
"C0151693"	"http://bio2rdf.org/meddra:10001354"	"http://bio2rdf.org/meddra:10001353"	"http://bio2rdf.org/meddra:10014698"
"C0154206"	"http://bio2rdf.org/meddra:10001370"	"http://bio2rdf.org/meddra:10001353"	"http://bio2rdf.org/meddra:10014698"
"C0002994"	"http://bio2rdf.org/meddra:10002425"	"http://bio2rdf.org/meddra:10001708"	"http://bio2rdf.org/meddra:10021428"
"C0151788"	"http://bio2rdf.org/meddra:10027654"	"http://bio2rdf.org/meddra:10001708"	"http://bio2rdf.org/meddra:10021428"
"C0700360"	"http://bio2rdf.org/meddra:10027654"	"http://bio2rdf.org/meddra:10001708"	"http://bio2rdf.org/meddra:10021428"
"C0854051"	"http://bio2rdf.org/meddra:10027654"	"http://bio2rdf.org/meddra:10001708"	"http://bio2rdf.org/meddra:10021428"
"C0853113"	"http://bio2rdf.org/meddra:10027654"	"http://bio2rdf.org/meddra:10001708"	"http://bio2rdf.org/meddra:10021428"
"C0002390"	"http://bio2rdf.org/meddra:10027654"	"http://bio2rdf.org/meddra:10001708"	"http://bio2rdf.org/meddra:10021428"
"C0002792"	"http://bio2rdf.org/meddra:10002220"	"http://bio2rdf.org/meddra:10001708"	"http://bio2rdf.org/meddra:10021428"
"C0151482"	"http://bio2rdf.org/meddra:10002042"	"http://bio2rdf.org/meddra:10002086"	"http://bio2rdf.org/meddra:10005329"
"C2004521"	"http://bio2rdf.org/meddra:10002042"	"http://bio2rdf.org/meddra:10002086"	"http://bio2rdf.org/meddra:10005329"
"C0272013"	"http://bio2rdf.org/meddra:10002042"	"http://bio2rdf.org/meddra:10002086"	"http://bio2rdf.org/meddra:10005329"
"C0002871"	"http://bio2rdf.org/meddra:10002067"	"http://bio2rdf.org/meddra:10002086"	"http://bio2rdf.org/meddra:10005329"
"C0002886"	"http://bio2rdf.org/meddra:10002067"	"http://bio2rdf.org/meddra:10002086"	"http://bio2rdf.org/meddra:10005329"
"C0002888"	"http://bio2rdf.org/meddra:10002067"	"http://bio2rdf.org/meddra:10002086"	"http://bio2rdf.org/meddra:10005329"
"C0002891"	"http://bio2rdf.org/meddra:10002067"	"http://bio2rdf.org/meddra:10002086"	"http://bio2rdf.org/meddra:10005329"
"C1533150"	"http://bio2rdf.org/meddra:10002113"	"http://bio2rdf.org/meddra:10002112"	"http://bio2rdf.org/meddra:10017947"
"C0016167"	"http://bio2rdf.org/meddra:10002113"	"http://bio2rdf.org/meddra:10002112"	"http://bio2rdf.org/meddra:10017947"
"C0341325"	"http://bio2rdf.org/meddra:10002113"	"http://bio2rdf.org/meddra:10002112"	"http://bio2rdf.org/meddra:10017947"
"C0345903"	"http://bio2rdf.org/meddra:10002113"	"http://bio2rdf.org/meddra:10002112"	"http://bio2rdf.org/meddra:10017947"
"C0687707"	"http://bio2rdf.org/meddra:10002113"	"http://bio2rdf.org/meddra:10002112"	"http://bio2rdf.org/meddra:10017947"
"C0152167"	"http://bio2rdf.org/meddra:10002118"	"http://bio2rdf.org/meddra:10002112"	"http://bio2rdf.org/meddra:10017947"
"C0854455"	"http://bio2rdf.org/meddra:10027684"	"http://bio2rdf.org/meddra:10002252"	"http://bio2rdf.org/meddra:10021881"
"C0002940"	"http://bio2rdf.org/meddra:10002364"	"http://bio2rdf.org/meddra:10002363"	"http://bio2rdf.org/meddra:10047065"
"C1956223"	"http://bio2rdf.org/meddra:10002364"	"http://bio2rdf.org/meddra:10002363"	"http://bio2rdf.org/meddra:10047065"
"C0003486"	"http://bio2rdf.org/meddra:10002889"	"http://bio2rdf.org/meddra:10002363"	"http://bio2rdf.org/meddra:10047065"
"C0741160"	"http://bio2rdf.org/meddra:10002889"	"http://bio2rdf.org/meddra:10002363"	"http://bio2rdf.org/meddra:10047065"
"C0275844"	"http://bio2rdf.org/meddra:10002889"	"http://bio2rdf.org/meddra:10002363"	"http://bio2rdf.org/meddra:10047065"
"C0340643"	"http://bio2rdf.org/meddra:10002889"	"http://bio2rdf.org/meddra:10002363"	"http://bio2rdf.org/meddra:10047065"
"C0002994"	"http://bio2rdf.org/meddra:10002425"	"http://bio2rdf.org/meddra:10002426"	"http://bio2rdf.org/meddra:10040785"
